Scene Number, Scene Name, Target Number, Cube Size, CubeStartingPositionX, CubeStartingPositionY, CubeStartingPositionZ, RotationY, FinalCubePositionX, FinalCubePositionY, FinalCubePositionZ, Time Taken, PositionOfTargetX, PositionOfTargetY, PositionOfTargetZ, Error
0, 0101, 7, 0.422679, -0.278203, 0, 1.47909, 61, -0.278203, 0, 4.979087, 47.37741, 0, -1.66, 5.69, -0.7109127
1, 1110, 6, 0.2788585, -0.1178973, 0, 5.174335, 0, -0.1178973, 0, 4.574335, 27.7766, 0, -1.66, 5.2, -0.6256647
2, 1101, 2, 0.4813107, 0.1017045, 0, 2.383969, 1, 0.1017045, 0, 3.283968, 15.70432, 0, -1.66, 3.24, 0.0439682
3, 1112, 5, 0.3571326, -0.147682, 0, 5.84589, 0, -0.147682, 0, 4.745891, 15.23718, 0, -1.66, 4.71, 0.03589058
4, 1011, 2, 0.204298, -0.1511817, 0, 3.123282, 0, -0.1511817, 0, 3.223282, 26.69498, 0, -1.66, 3.24, -0.01671767
5, 1111, 5, 0.4720213, -0.1354107, 0, 5.171435, 0, -0.1354107, 0, 4.771436, 27.24234, 0, -1.66, 4.71, 0.0614357
6, 1010, 5, 0.44635, -0.3130151, 0, 4.568264, 0, -0.3130151, 0, 4.768263, 20.21796, 0, -1.66, 4.71, 0.0582633
7, 0002, 2, 0.4798478, 0.1442566, 0, 4.314754, 40, 0.1442566, 0, 2.914756, 35.80258, 0, -1.66, 3.24, -0.3252442
8, 0101, 4, 0.3709621, -0.2303701, 0, 4.55327, 18, -0.2303701, 0, 3.853271, 30.29053, 0, -1.66, 4.22, -0.3667293
9, 0011, 4, 0.4713008, -0.1167701, 0, 5.145276, 0, -0.1167701, 0, 4.245276, 42.93112, 0, -1.66, 4.22, 0.02527666
10, 0012, 5, 0.4912046, 0.1735635, 0, 2.952469, 0, 0.1735635, 0, 4.252468, 37.63474, 0, -1.66, 4.71, -0.4575324
11, 0112, 2, 0.4447284, -0.3406722, 0, 1.959685, 0, -0.3406722, 0, 2.659684, 29.24304, 0, -1.66, 3.24, -0.5803158
12, 1011, 5, 0.2708549, 0.3629871, 0, 3.20105, 0, 0.3629871, 0, 3.901049, 20.68207, 0, -1.66, 4.71, -0.8089507
13, 0000, 5, 0.2154378, 0.2517515, 0, 5.479117, 8, 0.2517515, 0, 4.279118, 24.34711, 0, -1.66, 4.71, -0.430882
14, 1012, 3, 0.4444122, -0.18742, 0, 2.576817, 0, -0.18742, 0, 3.276816, 14.08862, 0, -1.66, 3.73, -0.4531837
15, 1000, 5, 0.3797832, 0.04397044, 0, 7.457692, 77, 0.04397044, 0, 4.557695, 24.99371, 0, -1.66, 4.71, -0.1523051
16, 1001, 3, 0.2078808, 0.1541758, 0, 5.04834, 71, 0.1541758, 0, 3.748341, 41.04999, 0, -1.66, 3.73, 0.01834106
17, 1111, 1, 0.4779177, 0.1406739, 0, 5.168474, 0, 0.1406739, 0, 2.768476, 38.63989, 0, -1.66, 2.75, 0.01847649
18, 0112, 6, 0.2066995, 0.04940563, 0, 3.533772, 0, 0.04940563, 0, 4.533772, 26.49231, 0, -1.66, 5.2, -0.6662283
19, 1101, 7, 0.4870368, 0.1379811, 0, 3.412195, 1, 0.1379811, 0, 5.712193, 31.04095, 0, -1.66, 5.69, 0.02219296
20, 0002, 5, 0.3069297, -0.1567595, 0, 5.032571, 55, -0.1567595, 0, 4.432572, 27.41046, 0, -1.66, 4.71, -0.2774282
21, 1012, 8, 0.407423, 0.01722589, 0, 5.178559, 0, 0.01722589, 0, 6.178558, 42.66541, 0, -1.66, 6.18, -0.001441479
22, 1000, 4, 0.3335913, -0.2229909, 0, 5.203934, 14, -0.2229909, 0, 4.203935, 25.49432, 0, -1.66, 4.22, -0.01606464
23, 1002, 2, 0.3634538, 0.1057218, 0, 4.467479, 17, 0.1057218, 0, 3.16748, 20.59906, 0, -1.66, 3.24, -0.07251954
24, 0010, 3, 0.269687, -0.04729715, 0, 5.164652, 0, -0.04729715, 0, 3.264654, 121.4155, 0, -1.66, 3.73, -0.4653463
25, 0012, 6, 0.4709572, -0.1433493, 0, 5.139239, 0, -0.1433493, 0, 5.239239, 26.11096, 0, -1.66, 5.2, 0.03923893
26, 0110, 7, 0.3880763, -0.02174258, 0, 6.453439, 0, -0.02174258, 0, 5.753439, 16.55286, 0, -1.66, 5.69, 0.06343937
27, 1000, 4, 0.3553209, -0.2805711, 0, 2.942334, 38, -0.2805711, 0, 4.242333, 31.87488, 0, -1.66, 4.22, 0.02233315
28, 0001, 6, 0.4053156, 0.2292803, 0, 2.656837, 55, 0.2292803, 0, 4.956835, 40.33154, 0, -1.66, 5.2, -0.2431645
29, 0002, 2, 0.196746, -0.1453501, 0, 4.47893, 33, -0.1453501, 0, 3.078931, 26.72791, 0, -1.66, 3.24, -0.1610687
30, 1010, 7, 0.2914737, 0.2378573, 0, 1.703418, 0, 0.2378573, 0, 5.703415, 31.58948, 0, -1.66, 5.69, 0.01341486
31, 1010, 1, 0.3459103, 0.003911644, 0, 1.702223, 0, 0.003911644, 0, 2.802222, 28.62585, 0, -1.66, 2.75, 0.05222249
32, 1110, 7, 0.3129128, 0.355943, 0, 5.00814, 0, 0.355943, 0, 5.708139, 25.87903, 0, -1.66, 5.69, 0.01813936
33, 0111, 6, 0.2736246, -0.2870142, 0, 6.314336, 0, -0.2870142, 0, 5.014337, 23.14661, 0, -1.66, 5.2, -0.1856627
34, 0102, 1, 0.4787479, 0.3459971, 0, 2.441713, 66, 0.3459971, 0, 2.441713, 20.14954, 0, -1.66, 2.75, -0.3082869
35, 1002, 7, 0.2579899, 0.03237909, 0, 7.072234, 88, 0.03237909, 0, 5.772235, 19.30103, 0, -1.66, 5.69, 0.08223486
